"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FAM216B",55.9272041970878,-5.23080355373312,1.42397882225145,-3.67337173277811,0.000239370860065727,0.0172249537901595
"HMGCLL1",51.9786180055592,-5.21718643990318,1.29293127854145,-4.03516144012593,5.45647668476304e-05,0.00542609113559819
"HAS2",475.751898569426,-5.09030888271437,0.63101861014265,-8.06681261201415,7.21571682377488e-16,1.63930778069274e-12
"AC090001.1",51.4777410715936,-5.06253930411439,1.25011268059045,-4.04966638825172,5.1290699261674e-05,0.00526242574424775
"SFRP5",174.671132176756,-5.03252232017473,1.19897469278504,-4.19735491537769,2.70050549542056e-05,0.00315780433041714
"CLDN18",2773.42254315883,-5.01530265998883,0.869050940580793,-5.77101114077048,7.87972643940604e-09,2.98360213252081e-06
"IHH",30.7220499476902,-4.98161148121764,1.59544796515501,-3.12239044457562,0.00179388857043489,0.0717358280369961
"IL33",912.971600125439,-4.97358900192171,0.640094470752442,-7.77008586884866,7.84329372810503e-15,1.24731900158054e-11
"EREG",235.484760201555,-4.96847252153522,0.882849962059547,-5.62776545852092,1.82559083564006e-08,6.04841063732996e-06
"FGG",2068.17565949724,-4.94995697223962,0.907417898167924,-5.45499155596729,4.89751727351293e-08,1.55770434401352e-05
"KLK5",36.4482364170597,-4.86455347844098,1.5260258781859,-3.1877267272976,0.00143395987876818,0.0627827482288231
"COL6A5",143.832059711019,-4.84838988187731,0.815378623834805,-5.94618222768076,2.74468585519421e-09,1.21246497653204e-06
"ALOX15",50.2273780899256,-4.84281640991657,1.21325489561638,-3.99159024819448,6.56317025349393e-05,0.00623090850342273
"LINC02154",84.7464619123115,-4.81098113078468,1.445308038333,-3.32868911206887,0.000872557442169461,0.0430940403814315
"FGA",498.866075308216,-4.81021414401164,0.802635115155877,-5.99302728373336,2.05970278547779e-09,9.63395688160391e-07
"ANXA8",50.7567916321895,-4.79527879706689,1.3121553549954,-3.65450537454362,0.000257678265868483,0.0182126998315844
"CHIAP2",31.2619538009705,-4.71688105807225,1.38405001661664,-3.40802789020792,0.00065434206297156,0.0353945640389004
"LINC01936",91.8138689843964,-4.70056951803846,0.95743529471198,-4.90954275865974,9.12889941794157e-07,0.000201634565893784
"DES",551.376355870657,-4.63419145008083,0.764741026720191,-6.05981801441447,1.3627564344231e-09,6.77247361769704e-07
"CHRDL1",969.389692197968,-4.59691374145987,0.868223094899285,-5.29462273978455,1.19262363654374e-07,3.44841703490093e-05
"RSPO1",33.8553044380836,-4.57837044498119,1.51557237640911,-3.02088538709637,0.0025203674221956,0.091094097989038
"XPNPEP2",28.2610019072637,-4.54762488083331,1.50014085617917,-3.03146525348028,0.00243369929145621,0.08897268926903
"PRRG3",42.5284785967259,-4.54737683745092,1.2759163804577,-3.56400850956995,0.00036523410579101,0.0234206370338485
"SERPINB5",34.206652530686,-4.33585676420085,1.74047587116423,-2.49119038995957,0.0127315875742557,0.271315490488148
"AGTR1",71.3290474655948,-4.32968934444273,1.14655047463377,-3.77627452103729,0.000159191534697063,0.0125327870113237
"TMEM100",301.617839482137,-4.32873828535114,0.679065759522808,-6.37454948161872,1.83501564609112e-10,1.08082421554767e-07
"HOXA7",16.8509003020429,-4.32491844646887,1.93304741251093,-2.23735766566171,0.0252629730866771,0.397385817010313
"ABI3BP",1317.09523133585,-4.31396798622452,0.804619334350939,-5.36150177115053,8.25329133353642e-08,2.4764545674949e-05
"CTSG",134.960548471973,-4.28252342203703,0.857251160235702,-4.99564610779827,5.86391077396812e-07,0.000133219675769164
"CD300LG",40.4659408071078,-4.27534138242149,1.43362127192069,-2.98219722751018,0.00286187566912605,0.0993720715417282
"IL6",564.448890395209,-4.27012705356177,0.665131335963839,-6.41997575918437,1.36296046854798e-10,8.67006413252739e-08
"GPC3",1258.79625147993,-4.26863467185184,0.615379939855737,-6.93658404408264,4.01694315948427e-12,3.19407235326391e-09
"C8orf34-AS1",93.4190726795577,-4.24122607192377,1.08512618440267,-3.90850956587913,9.28672708896223e-05,0.00811466048877837
"NKX3-1",63.1874965461848,-4.23556998297786,1.13913307591785,-3.7182398374001,0.000200615757884787,0.0150805201626964
"DNASE1L3",128.681811685737,-4.22116664210325,0.925972052386825,-4.55863287798222,5.14876840760559e-06,0.000880439397700556
"AC135068.1",49.7647506748783,-4.12098405670795,1.33790799442073,-3.08016999217663,0.00206882478691766,0.0789964554221983
"C7",5877.81812829245,-4.11790644593954,0.644374007838282,-6.39055330576432,1.65286571309011e-10,1.01098167058739e-07
"C20orf85",61.702245909824,-4.10848590548163,1.52899335701693,-2.68705281591104,0.00720855534599214,0.189196887079824
"ITLN2",87.5023427952336,-4.10657523402247,4.73140096977269,-0.867940650191769,0.385426823908999,0.999547658961092
"GSTA1",63.1396304956151,-4.08116300430982,1.29671500524257,-3.147309152597,0.00164780636550547,0.0678887684731437
"NPR3",747.596100279031,-4.0737885699757,0.69551101375041,-5.85725961118656,4.70567229829778e-09,1.96932385683762e-06
"CXCL5",358.924595371228,-4.06181752831936,0.650077006250961,-6.24820981093323,4.15183723588037e-10,2.12989250200663e-07
"CLIC1",117.900579441545,-4.03133465865947,1.20842230959068,-3.33603130847937,0.000849835924882521,0.042234189729396
"MSMB",33.5572498699591,-3.99593287957065,1.76375820572212,-2.26557861877368,0.0234771954154411,0.384236302435842
"CTD-3080P12.3",17.5868516205402,-3.99123132993032,2.16758547344705,-1.84132592639274,0.0655738105832496,0.635684598019659
"MASP1",108.491835265353,-3.97018462715839,0.834915946171487,-4.75519080137792,1.98259081704154e-06,0.000389248663745822
"FDCSP",18.8415088056898,-3.928641549933,1.97654513260012,-1.98763058082308,0.0468525615886022,0.545858085672923
"ADAMTS8",465.534582429499,-3.91333027429222,0.731453779113926,-5.35007185147472,8.79193182205188e-08,2.58922392159428e-05
"GREM2",30.6835416845199,-3.91300420272811,1.59972928408134,-2.44604149068583,0.0144434378055076,0.290337974563358
"HNF4A",61.2180584240257,-3.89865850237521,1.17411400475939,-3.3205110292285,0.000898528087578238,0.0441027536319652
"IGSF10",289.587437064128,-3.89696555040327,0.888313597472145,-4.38692547484671,1.1496415816935e-05,0.00166206818851561
"CXCL2",1791.45567535766,-3.88334899731597,0.830758016122564,-4.67446467196417,2.94721360857181e-06,0.000551406329613147
"GDF10",454.73347534196,-3.88179705864446,0.817368586042681,-4.74913903583977,2.0428446680702e-06,0.000396187301906346
"CLIC5",1343.533316067,-3.84387988451996,0.766115447991655,-5.0173637597265,5.23853248142243e-07,0.000122512326547148
"ERICH3",20.2891475556393,-3.82538007348152,1.80077829773063,-2.12429263408068,0.0336456812814302,0.45967978472387
"AL133482.1",70.8204389700126,-3.78579773305557,1.00999569112066,-3.74833057837602,0.000178015524291461,0.0136762361488266
"VEGFD",411.787410981081,-3.77557063677284,0.869832931101869,-4.34056989770449,1.42113652269692e-05,0.0019824854491622
"TSPAN19",15.902359177407,-3.77137952456778,2.32100717763183,-1.62488921228404,0.104186167218215,0.76104126982066
"IP6K3",33.842019318005,-3.77012791576908,1.60217042399259,-2.35313788053456,0.0186157298926655,0.334000476821277
"TMEM35A",14.7487182364853,-3.76357148662402,2.01556940826868,-1.86724975641341,0.0618667181921037,0.617517271919461
"GPIHBP1",479.037533063192,-3.75586997367184,0.63539043403599,-5.91112137117742,3.39786542094922e-09,1.4604392916042e-06
"ARC",304.414802600947,-3.74432144701392,0.823135582862708,-4.54885139820088,5.39395142317465e-06,0.000911861089311176
"STXBP6",211.609561673312,-3.73920121771543,0.720212488045357,-5.19180280789569,2.08267521329965e-07,5.71047998570765e-05
"SLIT2",1482.18219715629,-3.73469745206999,0.620789979665626,-6.01604016559931,1.78735240998357e-09,8.61341375029355e-07
"TMEM119",896.218760906214,-3.71295242412162,0.566006388314155,-6.55991257480434,5.38393336949363e-11,3.81844423602579e-08
"NTNG1",80.7591733073348,-3.71126550491079,1.09774857199744,-3.38079738801923,0.00072275816088187,0.0375154626793089
"KCTD16",63.7209248122599,-3.67934949923264,1.22019172493963,-3.01538637251017,0.00256652083733669,0.0921340426098542
"ADRA1A",73.2710922404008,-3.67821452165719,0.980345839687369,-3.75195606769767,0.000175460216011949,0.0135453583263982
"THBS1",2833.74100864662,-3.65385627435994,0.723261115741794,-5.05191858767695,4.37394139202795e-07,0.000104504453362334
"AC138776.1",17.4764108207159,-3.63786770061937,1.88828195097648,-1.92654899801279,0.0540358599358979,0.585976358100361
"CNTFR",43.0493315195284,-3.62747110177067,1.13498724855482,-3.19604568808112,0.00139325048054749,0.0617182796438628
"FRAS1",384.087059842466,-3.62673503638983,0.608651954393195,-5.95863532551301,2.54352975050747e-09,1.15570724635201e-06
"ARSI",136.765327211471,-3.61465728786173,0.829418087379594,-4.35806421738598,1.31217886146139e-05,0.00184668853396641
"TEKT1",41.0134840228903,-3.60656431578141,1.62465718665844,-2.21989250741526,0.026426065245919,0.406828379095691
"CSDC2",107.186118985605,-3.58186919816079,0.826582676567937,-4.33334656012041,1.46859649205049e-05,0.00203087739244165
"SFTPA2",66280.6469205873,-3.58123714981561,0.48635042345043,-7.36349137810633,1.79161373889384e-13,2.19169486843298e-10
"INMT",30.5553719500164,-3.56848821545279,1.58214397196847,-2.25547628956482,0.0241034489083306,0.389549947143477
"C2CD4B",298.488947829069,-3.50615937049388,0.693141914981997,-5.05835716281124,4.22883829480562e-07,0.000103463408311221
